Country;Date;Frequency;Fuel type;Type of vehicle;Value
Malta;2015;Annual;Diesel;New lorries (vehicle wt over 3500 kg);348.0
Malta;1998;Annual;Diesel;New passenger cars;2792.0
Malta;2002;Annual;Diesel;New passenger cars;5409.0
Malta;2002;Annual;Diesel;New motor coaches, buses and trolley buses;37.0
Malta;2007;Annual;Diesel;New motor coaches, buses and trolley buses;48.0
Malta;2010;Annual;Diesel;New motor coaches, buses and trolley buses;76.0
Malta;2012;Annual;Diesel;New motor coaches, buses and trolley buses;98.0
Malta;2017;Annual;Diesel;New motor coaches, buses and trolley buses;104.0
Netherlands;2013;Annual;- Hybrid electric-petrol;New lorries (vehicle wt over 3500 kg);0.0
Malta;2000;Annual;Diesel;New road tractors;121.0
Malta;2005;Annual;Diesel;New road tractors;142.0
Malta;2018;Annual;Diesel;New road tractors;89.0
Malta;2013;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);263.0
Malta;2018;Annual;- Diesel (excluding hybrids);New road tractors;89.0
Netherlands;2013;Annual;- Hybrid electric-petrol;New passenger cars;43326.0
Netherlands;2014;Annual;- Hybrid electric-petrol;New passenger cars;26727.0
Netherlands;2015;Annual;- Hybrid electric-petrol;New light goods vehicles;1.0
Netherlands;2016;Annual;- Hybrid electric-petrol;New light goods vehicles;0.0
Malta;2014;Annual;- Hybrid electric-diesel;New light goods vehicles;0.0
Malta;2016;Annual;- Hybrid electric-diesel;New light goods vehicles;0.0
Malta;2016;Annual;- Plug-in hybrid diesel-electric;New motor coaches, buses and trolley buses;0.0
Malta;2017;Annual;- Plug-in hybrid diesel-electric;New motor coaches, buses and trolley buses;0.0
Malta;2013;Annual;Alternative (total);New lorries (vehicle wt over 3500 kg);0.0
Netherlands;2013;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);3513.0
Netherlands;2015;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);3520.0
