Date;Frequency;Geo;Measure;Value;Vehicle
2000;Annual;European Union (28 countries);Percentage;7.1;Trains
2007;Annual;European Union (28 countries);Percentage;7.1;Trains
2000;Annual;European Union (28 countries);Percentage;82.5;Passenger cars
2002;Annual;European Union (28 countries);Percentage;83.4;Passenger cars
2005;Annual;European Union (28 countries);Percentage;83.4;Passenger cars
2007;Annual;European Union (28 countries);Percentage;83.1;Passenger cars
2011;Annual;European Union (28 countries);Percentage;83.2;Passenger cars
2000;Annual;European Union (28 countries);Percentage;10.4;Motor coaches, buses and trolley buses
2001;Annual;European Union (28 countries);Percentage;10.2;Motor coaches, buses and trolley buses
2002;Annual;European Union (28 countries);Percentage;9.8;Motor coaches, buses and trolley buses
2003;Annual;European Union (28 countries);Percentage;9.8;Motor coaches, buses and trolley buses
2014;Annual;European Union (28 countries);Percentage;9.6;Motor coaches, buses and trolley buses
2003;Annual;European Union (27 countries);Percentage;6.7;Trains
2001;Annual;European Union (27 countries);Percentage;82.7;Passenger cars
2008;Annual;European Union (27 countries);Percentage;82.8;Passenger cars
2014;Annual;European Union (27 countries);Percentage;82.6;Passenger cars
2015;Annual;European Union (27 countries);Percentage;82.7;Passenger cars
2016;Annual;European Union (27 countries);Percentage;82.9;Passenger cars
2006;Annual;European Union (27 countries);Percentage;9.7;Motor coaches, buses and trolley buses
2007;Annual;European Union (27 countries);Percentage;9.8;Motor coaches, buses and trolley buses
1995;Annual;Belgium;Percentage;5.8;Trains
1997;Annual;Belgium;Percentage;5.9;Trains
2000;Annual;Belgium;Percentage;6.3;Trains
2007;Annual;Belgium;Percentage;7.1;Trains
2010;Annual;Belgium;Percentage;7.7;Trains
2011;Annual;Belgium;Percentage;7.7;Trains
1995;Annual;Belgium;Percentage;82.9;Passenger cars
1997;Annual;Belgium;Percentage;83.0;Passenger cars
2005;Annual;Belgium;Percentage;79.8;Passenger cars
2006;Annual;Belgium;Percentage;79.2;Passenger cars
2011;Annual;Belgium;Percentage;79.5;Passenger cars
2013;Annual;Belgium;Percentage;79.8;Passenger cars
2014;Annual;Belgium;Percentage;80.4;Passenger cars
2016;Annual;Belgium;Percentage;81.8;Passenger cars
2017;Annual;Belgium;Percentage;82.0;Passenger cars
1990;Annual;Belgium;Percentage;10.6;Motor coaches, buses and trolley buses
2000;Annual;Belgium;Percentage;10.8;Motor coaches, buses and trolley buses
2001;Annual;Belgium;Percentage;11.0;Motor coaches, buses and trolley buses
2013;Annual;Belgium;Percentage;11.9;Motor coaches, buses and trolley buses
2017;Annual;Belgium;Percentage;10.2;Motor coaches, buses and trolley buses
1996;Annual;Bulgaria;Percentage;12.8;Trains
1997;Annual;Bulgaria;Percentage;15.0;Trains
2001;Annual;Bulgaria;Percentage;6.6;Trains
2005;Annual;Bulgaria;Percentage;4.8;Trains
2008;Annual;Bulgaria;Percentage;4.0;Trains
2013;Annual;Bulgaria;Percentage;2.9;Trains
2014;Annual;Bulgaria;Percentage;2.6;Trains
2003;Annual;Bulgaria;Percentage;66.5;Passenger cars
2005;Annual;Bulgaria;Percentage;70.9;Passenger cars
2008;Annual;Bulgaria;Percentage;75.1;Passenger cars
2011;Annual;Bulgaria;Percentage;80.6;Passenger cars
2016;Annual;Bulgaria;Percentage;83.7;Passenger cars
1997;Annual;Bulgaria;Percentage;24.0;Motor coaches, buses and trolley buses
2006;Annual;Bulgaria;Percentage;22.7;Motor coaches, buses and trolley buses
2009;Annual;Bulgaria;Percentage;16.8;Motor coaches, buses and trolley buses
2010;Annual;Bulgaria;Percentage;16.4;Motor coaches, buses and trolley buses
2011;Annual;Bulgaria;Percentage;15.9;Motor coaches, buses and trolley buses
2002;Annual;Czech Republic;Percentage;7.5;Trains
2008;Annual;Czech Republic;Percentage;7.1;Trains
2016;Annual;Czech Republic;Percentage;8.9;Trains
1998;Annual;Czech Republic;Percentage;72.7;Passenger cars
2002;Annual;Czech Republic;Percentage;73.8;Passenger cars
2008;Annual;Czech Republic;Percentage;76.0;Passenger cars
2009;Annual;Czech Republic;Percentage;76.2;Passenger cars
2015;Annual;Czech Republic;Percentage;74.1;Passenger cars
2017;Annual;Czech Republic;Percentage;73.3;Passenger cars
1995;Annual;Czech Republic;Percentage;15.8;Motor coaches, buses and trolley buses
2001;Annual;Czech Republic;Percentage;19.9;Motor coaches, buses and trolley buses
2006;Annual;Czech Republic;Percentage;17.3;Motor coaches, buses and trolley buses
2009;Annual;Czech Republic;Percentage;16.9;Motor coaches, buses and trolley buses
2010;Annual;Czech Republic;Percentage;19.5;Motor coaches, buses and trolley buses
2014;Annual;Czech Republic;Percentage;18.5;Motor coaches, buses and trolley buses
2016;Annual;Czech Republic;Percentage;17.1;Motor coaches, buses and trolley buses
