Country;Date;Frequency;Measurement;Value;Vehicle Category
Albania;1995;Annual;absolute value;5560.0;Motorcycles
Albania;1997;Annual;absolute value;3545.0;Motorcycles
Albania;1998;Annual;absolute value;4109.0;Motorcycles
Albania;2000;Annual;absolute value;3808.0;Motorcycles
Albania;2008;Annual;absolute value;18329.0;Motorcycles
Albania;1995;Annual;per 1000 inhabitants;2.0;Motorcycles
Albania;2005;Annual;per 1000 inhabitants;2.0;Motorcycles
Albania;2006;Annual;per 1000 inhabitants;4.0;Motorcycles
Albania;2003;Annual;absolute value;174782.0;Passenger cars
Albania;2004;Annual;absolute value;190004.0;Passenger cars
Albania;2007;Annual;absolute value;237932.0;Passenger cars
Albania;2011;Annual;absolute value;300974.0;Passenger cars
Albania;2015;Annual;absolute value;403680.0;Passenger cars
Albania;1999;Annual;per 1000 inhabitants;32.0;Passenger cars
Albania;2000;Annual;per 1000 inhabitants;37.0;Passenger cars
Albania;2004;Annual;per 1000 inhabitants;63.0;Passenger cars
Albania;2008;Annual;per 1000 inhabitants;90.0;Passenger cars
Albania;2015;Annual;per 1000 inhabitants;140.0;Passenger cars
Albania;2004;Annual;absolute value;25066.0;Motor coaches, buses and trolley bus
Albania;2005;Annual;absolute value;29453.0;Motor coaches, buses and trolley bus
Albania;1996;Annual;per 1000 inhabitants;2.0;Motor coaches, buses and trolley bus
Albania;1997;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Albania;1998;Annual;per 1000 inhabitants;3.0;Motor coaches, buses and trolley bus
Albania;2005;Annual;per 1000 inhabitants;10.0;Motor coaches, buses and trolley bus
Andorra;2002;Annual;absolute value;4200.0;Mopeds
Andorra;2001;Annual;absolute value;4900.0;Motorcycles
Andorra;2002;Annual;absolute value;5600.0;Motorcycles
Andorra;2013;Annual;absolute value;2891.0;Motorcycles
Andorra;1993;Annual;absolute value;48000.0;Passenger cars
Andorra;1995;Annual;absolute value;35900.0;Passenger cars
Andorra;1996;Annual;absolute value;35400.0;Passenger cars
Andorra;2001;Annual;absolute value;185.0;Motor coaches, buses and trolley bus
Andorra;2001;Annual;absolute value;0.0;Trams
Armenia;1997;Annual;per 1000 inhabitants;81.0;Passenger cars
Austria;1995;Annual;absolute value;372000.0;Mopeds
Austria;2001;Annual;absolute value;347000.0;Mopeds
Austria;1996;Annual;per 1000 inhabitants;46.0;Mopeds
Austria;2004;Annual;per 1000 inhabitants;36.0;Mopeds
Austria;2010;Annual;per 1000 inhabitants;36.0;Mopeds
Austria;2012;Annual;per 1000 inhabitants;36.0;Mopeds
Austria;1994;Annual;absolute value;374000.0;Motorcycles
Austria;2013;Annual;absolute value;450277.0;Motorcycles
Austria;2016;Annual;absolute value;504302.0;Motorcycles
Austria;1994;Annual;absolute value;3479000.0;Passenger cars
Austria;1996;Annual;absolute value;3690000.0;Passenger cars
Austria;1998;Annual;absolute value;3887000.0;Passenger cars
Austria;2000;Annual;absolute value;4097000.0;Passenger cars
Austria;2001;Annual;absolute value;4182000.0;Passenger cars
Austria;2008;Annual;absolute value;4285000.0;Passenger cars
Austria;1995;Annual;per 1000 inhabitants;452.0;Passenger cars
Austria;1998;Annual;per 1000 inhabitants;487.0;Passenger cars
Austria;2001;Annual;per 1000 inhabitants;520.0;Passenger cars
Austria;2009;Annual;per 1000 inhabitants;523.0;Passenger cars
Austria;2017;Annual;per 1000 inhabitants;557.0;Passenger cars
Austria;1993;Annual;absolute value;9483.0;Motor coaches, buses and trolley bus
Austria;2010;Annual;absolute value;9648.0;Motor coaches, buses and trolley bus
Austria;2017;Annual;absolute value;9956.0;Motor coaches, buses and trolley bus
Austria;2001;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Austria;2004;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Austria;2005;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Austria;2006;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Austria;2007;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Austria;2012;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Austria;2013;Annual;per 1000 inhabitants;1.0;Motor coaches, buses and trolley bus
Azerbaijan;1995;Annual;absolute value;13307.0;Motorcycles
Azerbaijan;2000;Annual;absolute value;6389.0;Motorcycles
Azerbaijan;2015;Annual;absolute value;3200.0;Motorcycles
