REGIONS/COUNTRIES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AUSTRIA,367,374,382,391,398,406,417,426,434,445,454
BELGIUM,674,691,712,731,743,761,779,791,802,817,839
DENMARK,479,519,546,541,518,495,479,465,451,448,446
FINLAND,87,91,93,93,92,94,97,97,97,95,95
FRANCE,"6,198","6,261","6,333","6,362","6,388","6,444","6,517","6,538","6,550","6,608","6,652"
GERMANY,"3,133","3,172","2,837","2,859","2,893","2,960","3,056","3,107","3,163","3,244","3,356"
GREECE,"1,213","1,247","1,283","1,317","1,330","1,346","1,348","1,346","1,343","1,325","1,100"
ICELAND,27,30,33,34,36,38,32,32,33,34,35
IRELAND,287,319,346,351,344,327,321,309,318,317,331
ITALY,"4,422","4,580","4,688","4,789","4,841","4,899","4,954","4,922","4,867","4,865","4,891"
LUXEMBOURG,31,32,34,36,37,38,39,40,40,41,42
NETHERLANDS,"1,071","1,065","1,083","1,101","1,094","1,080","1,066","1,043","1,053","1,045","1,059"
NORWAY,494,515,538,546,547,551,560,571,579,585,591
PORTUGAL,"1,323","1,335","1,348","1,349","1,353","1,353","1,351","1,310","1,273","1,252","1,279"
SPAIN,"4,908","5,175","5,414","5,468","5,406","5,366","5,319","5,233","5,130","5,085","5,107"
SWEDEN,475,493,517,524,528,540,562,571,579,595,610
SWITZERLAND,336,343,354,354,356,363,377,391,399,410,421
UNITED KINGDOM,"3,917","4,118","4,248","4,285","4,182","4,220","4,270","4,279","4,365","4,501","4,677"
BULGARIA,371,248,285,324,340,358,371,390,411,435,468
CROATIA,164,170,170,187,182,171,167,153,154,157,163
CYPRUS,122,119,121,125,128,124,121,117,113,107,107
CZECH REPUBLIC,530,582,651,711,705,701,702,706,701,709,731
ESTONIA,91,98,85,88,85,85,88,92,97,101,107
HUNGARY,430,447,462,474,470,469,470,472,480,496,514
LATVIA,124,132,140,140,130,77,78,81,85,88,91
LITHUANIA,137,151,162,164,160,147,150,152,156,107,110
MALTA,46,47,48,49,48,47,47,47,48,49,49
POLAND,"2,481","2,580","2,719","2,926","3,025","3,219","3,381","3,429","3,508","3,469","3,562"
ROMANIA,533,567,623,687,703,708,737,762,748,799,856
SLOVAKIA,206,217,245,279,299,302,309,300,316,330,341
SLOVENIA,72,76,84,91,91,92,92,92,93,96,100
ALBANIA,77,77,91,86,86,91,78,65,71,75,77
BELARUS,364,382,383,413,430,443,441,450,461,468,465
BOSNIA,50,50,50,60,70,80,79,70,74,80,82
GEORGIA,74,84,91,97,106,110,120,130,136,143,149
MACEDONIA,20,19,29,31,34,36,35,33,38,41,42
MOLDAVIA,102,105,116,137,142,153,163,173,176,182,186
RUSSIA,"5,642","5,753","6,050","6,243","6,219","6,307","6,447","6,940","6,907","7,116","7,102"
SERBIA,128,137,140,149,159,160,168,153,150,200,208
TURKEY,"2,654","2,939","3,181","3,394","3,517","3,721","3,949","4,178","4,367","4,515","4,772"
UKRAINE,"1,194","1,258","1,285","1,377","1,347","1,358","1,358","1,771","1,886","1,820","1,700"
CANADA,786,841,872,907,915,963,"1,008","1,053","1,072","1,120","1,147"
MEXICO,"7,250","7,773","8,172","8,787","9,173","9,329","9,591","9,723","10,050","10,211","10,416"
UNITED STATES OF AMERICA,"104,788","109,596","113,479","113,931","116,472","119,179","121,355","130,595","132,501","137,043","141,872"
ARGENTINA,"1,775","1,850","1,994","2,189","2,249","2,511","2,690","2,794","3,006","3,232","3,323"
BAHAMAS,29,30,30,31,31,32,32,32,34,33,30
BARBADOS,16,17,17,18,18,18,19,19,20,22,20
BELIZE,15,15,15,16,16,16,17,23,23,25,30
BERMUDA,5,5,5,5,5,5,5,4,4,4,4
BOLIVIA,224,240,263,297,316,334,362,391,421,452,490
BRAZIL,"4,113","4,192","4,346","4,593","4,853","5,223","5,764","6,208","6,679","7,111","7,272"
CHILE,815,850,890,934,958,"1,018","1,087","1,163","1,226","1,278","1,320"
COLOMBIA,"1,245","1,301","1,397","1,498","1,573","1,630","1,733","1,833","1,916","2,030","2,240"
COSTA RICA,157,157,152,165,167,197,204,212,218,224,230
CUBA,215,217,218,220,222,225,229,231,241,246,250
DOMINICAN REPUBLIC,451,496,546,597,629,673,706,736,766,799,838
ECUADOR,710,740,790,850,890,963,"1,041","1,109","1,175","1,247","1,298"
EL SALVADOR,106,107,111,113,114,115,120,126,133,141,150
GUATEMALA,557,635,735,807,866,923,975,"1,020","1,059","1,103","1,166"
HAITI,36,36,36,37,35,36,37,38,39,43,40
HONDURAS,90,91,92,93,93,94,98,103,108,114,120
JAMAICA,32,34,34,36,36,36,36,37,37,38,40
NICARAGUA,149,161,173,184,231,272,305,341,341,350,360
PANAMA,67,67,73,76,82,86,91,105,106,116,142
PARAGUAY,200,209,217,209,225,245,249,252,257,261,269
PERU,484,508,535,584,627,685,754,835,887,932,959
PUERTO RICO,113,209,240,248,249,246,270,290,300,310,320
SURINAME,29,30,31,33,33,34,35,37,39,41,43
TRINIDAD AND TOBAGO,41,40,40,41,41,41,42,42,45,46,47
URUGUAY,65,71,71,72,68,76,82,88,93,107,120
VENEZUELA,621,670,800,989,954,981,995,"1,060",861,890,910
AFGHANISTAN,200,200,215,222,241,260,289,384,402,412,416
AUSTRALIA,"2,601","2,706","2,801","2,925","3,027","3,132","2,716","3,318","3,436","3,556","3,651"
AZERBAIDJAN,118,125,138,142,147,148,151,160,164,172,172
BAHRAIN,53,57,63,70,76,80,84,88,88,86,79
BANGLADESH,141,142,144,145,164,185,204,218,235,256,240
BRUNEI,10,10,11,12,8,8,11,16,15,23,6
CHINA,"10,272","10,778","11,624","12,607","14,355","16,384","18,713","21,844","25,340","28,499","27,040"
GUAM,31,31,32,33,33,34,35,36,36,37,38
HONG-KONG,130,131,130,129,127,129,131,134,139,136,134
INDIA,"2,706","2,948","3,642","3,954","4,433","4,682","5,086","5,726","5,908","6,068","6,392"
