Date;Frequency;Geo;Measure;Tra Mode;Value
2006;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;31.9
2015;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;26.4
2016;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;26.5
2017;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;26.9
2007;Annual;France;Percentage;Railways;11.6
2008;Annual;France;Percentage;Railways;11.5
2012;Annual;France;Percentage;Railways;10.8
2008;Annual;Croatia;Percentage;Roads;71.7
2009;Annual;Croatia;Percentage;Roads;71.8
2010;Annual;Croatia;Percentage;Roads;69.0
2008;Annual;Croatia;Percentage;Inland waterways;5.7
2010;Annual;Croatia;Percentage;Inland waterways;8.2
2006;Annual;Latvia;Percentage;Roads;19.0
2008;Annual;Latvia;Percentage;Roads;16.6
2006;Annual;Malta;Percentage;Roads;100.0
2007;Annual;Malta;Percentage;Roads;100.0
2017;Annual;Malta;Percentage;Roads;100.0
2007;Annual;Netherlands;Percentage;Railways;7.0
2009;Annual;Netherlands;Percentage;Railways;6.0
2014;Annual;Netherlands;Percentage;Railways;5.8
2015;Annual;Netherlands;Percentage;Railways;6.1
2007;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;38.3
2013;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;36.0
2015;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;35.3
2016;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;35.1
2009;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;77.0
2010;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;75.7
2017;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;76.3
2008;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.5
2017;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.0
2008;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;54.9
2017;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;43.4
2007;Annual;Czechia;Percentage;Roads;67.8
2008;Annual;Czechia;Percentage;Roads;67.8
2012;Annual;Czechia;Percentage;Roads;69.4
2016;Annual;Czechia;Percentage;Roads;73.5
2006;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;37.3
2007;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;36.4
2010;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;29.6
2011;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;30.0
2014;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;26.6
2015;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;25.6
2017;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;24.0
2012;Annual;Slovakia;Percentage;Roads;58.7
2018;Annual;Slovakia;Percentage;Roads;64.4
2008;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;9.0
2011;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;12.4
2013;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;11.3
2014;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;11.2
2007;Annual;France;Percentage;Roads;85.9
2008;Annual;France;Percentage;Roads;85.9
2011;Annual;France;Percentage;Roads;86.3
2012;Annual;France;Percentage;Roads;86.2
2016;Annual;France;Percentage;Roads;86.3
2005;Annual;Belgium;Percentage;Roads;73.7
2009;Annual;Belgium;Percentage;Roads;76.7
2005;Annual;Belgium;Percentage;Inland waterways;13.5
2010;Annual;Belgium;Percentage;Inland waterways;14.6
2012;Annual;Belgium;Percentage;Inland waterways;16.4
2015;Annual;Belgium;Percentage;Inland waterways;15.2
2016;Annual;Belgium;Percentage;Inland waterways;14.7
2015;Annual;Czechia;Percentage;Inland waterways;0.1
2010;Annual;Denmark;Percentage;Railways;11.5
2018;Annual;Denmark;Percentage;Railways;11.8
2018;Annual;Slovakia;Percentage;Inland waterways;3.0
2006;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;29.6
2008;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;27.4
2009;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;26.0
2011;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;27.8
2012;Annual;Bulgaria;Percentage;Inland waterways;30.5
2005;Annual;France;Percentage;Inland waterways;2.6
2009;Annual;France;Percentage;Inland waterways;2.9
2015;Annual;France;Percentage;Inland waterways;2.9
2018;Annual;France;Percentage;Inland waterways;2.3
2013;Annual;Lithuania;Percentage;Railways, inland waterways - sum of available data;66.6
2010;Annual;Bulgaria;Percentage;Railways;17.0
