# Source: 2015 year from 2019 IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
abw,MARBUNK,Total,7.69
abw,AVBUNK,Total,12.11
abw,DOMESAIR,Total,1.11
abw,ROAD,Total,35.11
abw,DOMESNAV,Total,0.2
afg,MARBUNK,Total,178.11
afg,AVBUNK,Total,187.55
afg,DOMESAIR,Total,148.53
afg,ROAD,Total,2400.37
afg,DOMESNAV,Total,146.01
ago,MARBUNK,Total,395
ago,AVBUNK,Total,429
ago,DOMESAIR,Total,47
ago,ROAD,Total,2569
ago,DOMESNAV,Total,21
alb,MARBUNK,Total,20
alb,AVBUNK,Total,2
alb,ROAD,Total,789
alb,RAIL,Total,2
alb,DOMESNAV,Total,34
ant,MARBUNK,Total,14.8
ant,AVBUNK,Total,23.3
ant,DOMESAIR,Total,2.14
ant,ROAD,Total,67.53
ant,DOMESNAV,Total,0.39
are,MARBUNK,Total,15234
are,AVBUNK,Total,8303
are,DOMESAIR,Total,338
are,ROAD,Total,10096
are,RAIL,Total,0.5
arg,MARBUNK,Total,908
arg,AVBUNK,Total,939
arg,DOMESAIR,Total,506
arg,ROAD,Total,15584
arg,RAIL,Total,52
arg,DOMESNAV,Total,346
arm,MARBUNK,Total,0
arm,AVBUNK,Total,32
arm,ROAD,Total,559
arm,RAIL,Total,6
arm,DOMESNAV,Total,0
atg,MARBUNK,Total,6.9
atg,AVBUNK,Total,10.86
atg,DOMESAIR,Total,1
atg,ROAD,Total,31.48
atg,DOMESNAV,Total,0.18
aus,MARBUNK,Total,548
aus,AVBUNK,Total,3890
aus,DOMESAIR,Total,3025
aus,ROAD,Total,26840
aus,RAIL,Total,1312
aus,DOMESNAV,Total,560
aut,MARBUNK,Total,21
aut,AVBUNK,Total,693
aut,DOMESAIR,Total,32
aut,ROAD,Total,7935
aut,RAIL,Total,214
aut,DOMESNAV,Total,4
aze,MARBUNK,Total,51
aze,AVBUNK,Total,272
aze,DOMESAIR,Total,194
aze,ROAD,Total,2121
aze,RAIL,Total,40
aze,DOMESNAV,Total,26
bdi,MARBUNK,Total,14.81
bdi,AVBUNK,Total,33.24
bdi,DOMESAIR,Total,4.4
bdi,ROAD,Total,232.71
bdi,RAIL,Total,2.49
bdi,DOMESNAV,Total,0.24
bel,MARBUNK,Total,5821
bel,AVBUNK,Total,1446
bel,DOMESAIR,Total,3
bel,ROAD,Total,8575
bel,RAIL,Total,155
bel,DOMESNAV,Total,140
ben,AVBUNK,Total,38
ben,ROAD,Total,1530
ben,RAIL,Total,0
bfa,MARBUNK,Total,26.4
bfa,AVBUNK,Total,59.25
bfa,DOMESAIR,Total,7.84
bfa,ROAD,Total,414.82
bfa,RAIL,Total,4.44
bfa,DOMESNAV,Total,0.44
bgd,MARBUNK,Total,103
bgd,AVBUNK,Total,361
bgd,ROAD,Total,2559
bgd,RAIL,Total,291
bgd,DOMESNAV,Total,402
bgr,MARBUNK,Total,87
bgr,AVBUNK,Total,177
bgr,DOMESAIR,Total,13
bgr,ROAD,Total,3019
bgr,RAIL,Total,40
