Model,Scenario,Region,Variable,Unit,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,AV_level,Own_hired,Year
[All],[All],[All + World],GDP,10^9 USD(2005) / yr,,,,,,,,,[All]
[All],[All],[All + World],Population,10^6 persons,,,,,,,,,[All]
[All],[All],[All + World],GHG Price,USD(2005) / t CO2e,,,,,,,,,[All]
[All],[All],[All + World],Price,USD(2005) / GJ,,,,,Electricity,,,,[All]
[All],[All],[All + World],Price,USD(2005) / GJ,,,,,Hydrogen,,,,[All]
[All],[All],[All + World],Price,USD(2005) / GJ,,,,,Liquid,,,,[All]
[All],[All],[All + World],Price,USD(2005) / GJ,,,,,Natural gas,,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Air,All,All (if no detail),All (if no detail),,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Air,All,Liquid,Liquid,,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Rail,All,All (if no detail),All (if no detail),,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Rail,All,Liquid,Liquid,,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Rail,All,Natural gas,Natural gas,,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Road,All (if no detail),All (if no detail),All (if no detail),,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Road,All (if no detail),Liquid,Liquid,,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Road,All (if no detail),Natural gas,Natural gas,,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Road,All (if no detail),PHEV,Liquid,,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Road,Heavy truck,All (if no detail),All (if no detail),,,,[All]
[All],[All],[All + World],BC Emissions,10^3 t BC / yr,Freight,Road,Heavy truck,Liquid,Liquid,,,,[All]
