IPCC_Category,IPCC_Variable,IPCC_Unit,Variable,Unit,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,Unit_conv
Emissions,Emissions|BC|Energy|Demand|Transportation|Freight,Mt BC/yr,BC Emissions,10^3 t BC / yr,Freight,All,All,All,All,All,1000
Emissions,Emissions|BC|Energy|Demand|Transportation|Passenger,Mt BC/yr,BC Emissions,10^3 t BC / yr,Passenger,All,All,All,All,All,1000
Emissions,Emissions|CH4|Energy|Demand|Transportation|Freight,Mt CH4/yr,,,,,,,,,
Emissions,Emissions|CH4|Energy|Demand|Transportation|Passenger,Mt CH4/yr,,,,,,,,,
Emissions,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,All,All,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Aviation,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,All,Air,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight,Mt CO2/yr,,,,,,,,,
Emissions,Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger,Mt CO2/yr,,,,,,,,,
Emissions,Emissions|CO2|Energy|Demand|Transportation|Freight,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Freight,All,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,All,Ship,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight,Mt CO2/yr,,,,,,,,,
Emissions,Emissions|CO2|Energy|Demand|Transportation|Maritime|Passenger,Mt CO2/yr,,,,,,,,,
Emissions,Emissions|CO2|Energy|Demand|Transportation|Passenger,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Passenger,All,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Rail,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,All,Rail,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Rail|Freight,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Freight,Rail,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Rail|Passenger,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Passenger,Rail,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Road,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,All,Road,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Road|Freight,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Freight,Road,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Passenger,Road,All,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|2W&3W,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Passenger,Road,2W+3W,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Passenger,Road,Bus,All,All,All,1
Emissions,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|LDV,Mt CO2/yr,CO2 Emissions (ttw),10^6 t CO2 / yr,Passenger,Road,LDV,All,All,All,1
Emissions,Emissions|CO|Energy|Demand|Transportation|Freight,Mt CO/yr,,,,,,,,,
Emissions,Emissions|CO|Energy|Demand|Transportation|Passenger,Mt CO/yr,,,,,,,,,
Emissions,Emissions|N2O|Energy|Demand|Transportation,Mt N2O/yr,,,,,,,,,
Emissions,Emissions|N2O|Energy|Demand|Transportation|Freight,Mt N2O/yr,,,,,,,,,
Emissions,Emissions|N2O|Energy|Demand|Transportation|Passenger,Mt N2O/yr,,,,,,,,,
Emissions,Emissions|NH3|Energy|Demand|Transportation|Freight,Mt NH3/yr,,,,,,,,,
Emissions,Emissions|NH3|Energy|Demand|Transportation|Passenger,Mt NH3/yr,,,,,,,,,
Emissions,Emissions|NOx|Energy|Demand|Transportation|Freight,Mt NOx/yr,NOx Emissions,10^3 t BC / yr,Freight,All,All,All,All,All,1000
Emissions,Emissions|NOx|Energy|Demand|Transportation|Passenger,Mt NOx/yr,NOx Emissions,10^3 t BC / yr,Passenger,All,All,All,All,All,1000
Emissions,Emissions|OC|Energy|Demand|Transportation|Freight,Mt OC/yr,,,,,,,,,
Emissions,Emissions|OC|Energy|Demand|Transportation|Passenger,Mt OC/yr,,,,,,,,,
Emissions,Emissions|Sulfur|Energy|Demand|Transportation|Freight,Mt SO2/yr,,,,,,,,,
Emissions,Emissions|Sulfur|Energy|Demand|Transportation|Passenger,Mt SO2/yr,,,,,,,,,
Emissions,Emissions|VOC|Energy|Demand|Transportation|Freight,Mt VOC/yr,,,,,,,,,
Emissions,Emissions|VOC|Energy|Demand|Transportation|Passenger,Mt VOC/yr,,,,,,,,,
Energy,Energy Service|Transportation|Aviation,bn vkm/yr,Vehicle Activity,10^9 vehicle-km / yr,All,Air,All,All,All,All,1
Energy,Energy Service|Transportation|Freight,bn tkm/yr,Freight Activity,10^9 tonne-km / yr,All,All,All,All,All,All,1
Energy,Energy Service|Transportation|Freight|Aviation,bn tkm/yr,,,,,,,,,
Energy,Energy Service|Transportation|Freight|International Shipping,bn tkm/yr,Freight Activity,10^9 tonne-km / yr,All,Ship,All,All,All,All,1
Energy,Energy Service|Transportation|Freight|Navigation,bn tkm/yr,,,,,,,,,
Energy,Energy Service|Transportation|Freight|Other,bn tkm/yr,,,,,,,,,
Energy,Energy Service|Transportation|Freight|Railways,bn tkm/yr,Freight Activity,10^9 tonne-km / yr,All,Rail,All,All,All,All,1
Energy,Energy Service|Transportation|Freight|Road,bn tkm/yr,Freight Activity,10^9 tonne-km / yr,All,Road,All,All,All,All,1
Energy,Energy Service|Transportation|Navigation,bn vkm/yr,,,,,,,,,
Energy,Energy Service|Transportation|Passenger,bn pkm/yr,Passenger Activity,10^9 passenger-km / yr,All,All,All,All,All,All,1
Energy,Energy Service|Transportation|Passenger|Aviation,bn pkm/yr,Passenger Activity,10^9 passenger-km / yr,All,Air,All,All,All,All,1
Energy,Energy Service|Transportation|Passenger|Bicycling and Walking,bn pkm/yr,,,,,,,,,
Energy,Energy Service|Transportation|Passenger|Navigation,bn pkm/yr,,,,,,,,,
Energy,Energy Service|Transportation|Passenger|Other,bn pkm/yr,,,,,,,,,
